"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","significance"
"Gene_0171",85.3637049278131,-3.41850227109105,1.2901306908426,-2.6497333141175,0.00805553298548805,0.102880664128947,"Not significant"
"Gene_0372",130.538070953224,-3.85466283886213,1.46428669989779,-2.63245089853729,0.00847712753752144,0.105257666924225,"Not significant"
"Gene_0092",182.973155778636,4.31516860217649,1.64566597924878,2.62214122220981,0.00873792149914368,0.105563538111276,"Not significant"
"Gene_0021",226.540789060882,-4.22724754763902,1.63519319005991,-2.58516704529826,0.00973318287151158,0.113242187668674,"Not significant"
"Gene_0494",442.442704809613,4.12184961576213,1.5976195791527,2.57999443018103,0.0098801908704212,0.113242187668674,"Not significant"
"Gene_0001",154.143714843485,-3.53151063279105,1.40297782060373,-2.51715357215795,0.0118307249558721,0.128983757445728,"Not significant"
"Gene_0113",253.825971399385,4.46914294112984,1.76946038168395,2.52570952556546,0.0115464906025218,0.128983757445728,"Not significant"
"Gene_0076",169.826242049345,-3.2065011478849,1.30473359070355,-2.45759070720012,0.0139872483085692,0.148794560389074,"Not significant"
"Gene_0300",1038.44624540048,3.17400801398801,1.29588576566844,2.44929614791377,0.0143135706861973,0.148794560389074,"Not significant"
"Gene_0030",79.8756581692381,-3.40310460541363,1.4140825793088,-2.40658123875414,0.0161026221647973,0.162484474949983,"Not significant"
"Gene_0214",70.2891195159968,-3.23384078059057,1.35475663452399,-2.38702708529404,0.016985239852065,0.162484474949983,"Not significant"
"Gene_0292",173.024909141705,2.99178754013815,1.24842303919411,2.39645332248068,0.0165546018683738,0.162484474949983,"Not significant"
"Gene_0491",220.093333805933,3.26845191765085,1.37048662302344,2.38488421757834,0.0170844973661056,0.162484474949983,"Not significant"
"Gene_0254",206.072842879781,-3.66109603834328,1.54439720144993,-2.37056635100486,0.0177608557433951,0.163423380625243,"Not significant"
"Gene_0323",216.320996788844,3.36262972707442,1.42039999413575,2.36738224511218,0.0179144198000825,0.163423380625243,"Not significant"
"Gene_0070",180.681765906845,4.18276348847326,1.77411405604782,2.35766323716028,0.0183903678253203,0.164409888358364,"Not significant"
"Gene_0289",162.358187508511,-4.33892052924209,1.8466105686663,-2.34966733260702,0.0187901961884999,0.164690543063911,"Not significant"
"Gene_0489",116.505115462523,3.53035790772801,1.5200796747899,2.32248214766504,0.0202069885955335,0.173702382734682,"Not significant"
"Gene_0205",235.876430792625,-4.17936579354264,1.80812110414358,-2.31144129890692,0.0208084920136818,0.175498036417279,"Not significant"
"Gene_0042",578.346574150181,3.32508674149588,1.44308901655469,2.3041452767996,0.0212144898678324,0.175608832794834,"Not significant"
"Gene_0062",112.840378859877,3.1629614397185,1.38640439963827,2.28141330231191,0.0225240016240519,0.1797897986777,"Not significant"
"Gene_0264",114.940655340852,2.76164651166945,1.20772286743748,2.28665580997821,0.0222159209200726,0.1797897986777,"Not significant"
"Gene_0403",93.6083271820837,2.94725151313612,1.33556212736826,2.2067498416893,0.0273315410342112,0.214336821794603,"Not significant"
"Gene_0047",163.10798781859,2.87047343996405,1.31687078867056,2.17976848196467,0.0292746273476579,0.221792515667849,"Not significant"
"Gene_0490",885.371304701101,3.18073510611323,1.45563426247902,2.18511970218142,0.028880071016446,0.221792515667849,"Not significant"
"Gene_0177",95.093214522238,-2.78241711090055,1.28541957088649,-2.16459837232885,0.0304184557702985,0.222902454579073,"Not significant"
"Gene_0437",102.452676606446,-3.01835537404772,1.39183356675906,-2.1686180346089,0.0301116948297719,0.222902454579073,"Not significant"
"Gene_0031",745.95501692081,3.36961308824786,1.5771236087497,2.13655611364489,0.0326341123529018,0.224499063534524,"Not significant"
"Gene_0066",270.925270072432,3.13920598680376,1.46211607485047,2.14702925492753,0.0317909526578326,0.224499063534524,"Not significant"
"Gene_0119",86.4584447953149,3.26477400155488,1.51649322842206,2.15284443106412,0.0313309069307698,0.224499063534524,"Not significant"
"Gene_0122",317.752997084451,3.27672899012461,1.54146331908587,2.12572621712971,0.0335260626468341,0.224499063534524,"Not significant"
"Gene_0186",926.13685008633,4.09599880047656,1.91845938647931,2.13504587553109,0.0327572630333885,0.224499063534524,"Not significant"
"Gene_0209",107.728103903452,-3.22519507470335,1.51827902638296,-2.12424397535599,0.0336497477781054,0.224499063534524,"Not significant"
"Gene_0050",126.079083547106,3.12955414498614,1.49369345404055,2.09517832224575,0.0361551435559134,0.234222451731787,"Not significant"
"Gene_0282",70.7113332095696,-3.02996059813575,1.44371909620136,-2.09871893092501,0.0358416848646206,0.234222451731787,"Not significant"
"Gene_0027",128.888370952993,-3.42878914876837,1.64734003211019,-2.08140947341405,0.0373964422973404,0.238527655777653,"Not significant"
"Gene_0410",125.31035211462,-3.50761862108231,1.68954267453396,-2.07607577716251,0.0378869430877256,0.238527655777653,"Not significant"
"Gene_0023",1016.87353489633,2.96816771230029,1.43448827148746,2.06914742441395,0.0385322546100198,0.239221080703873,"Not significant"
"Gene_0071",199.6789661858,2.52196274636287,1.22806451186871,2.05360770707825,0.0400136756084869,0.24002347607931,"Not significant"
"Gene_0118",190.445447844136,2.97889877109744,1.45245247686768,2.05094405396427,0.0402723953153204,0.24002347607931,"Not significant"
"Gene_0445",81.7387430426202,2.70331354543736,1.31622442692898,2.05383936821834,0.0399912412381957,0.24002347607931,"Not significant"
"Gene_0336",185.984956478176,3.91962510363753,1.91806599221135,2.0435298470198,0.0410000158631227,0.241144830142314,"Not significant"
"Gene_0414",199.525346304521,-2.80067341651197,1.38607346058309,-2.02058079615332,0.0433231785327642,0.25149949096293,"Not significant"
"Gene_0178",145.912949836139,-3.02688868372712,1.51123542118727,-2.00292333099836,0.0451855184150421,0.25894777860928,"Not significant"
"Gene_0359",51.5739691948256,-2.82699508687798,1.41534220193525,-1.99739333923098,0.045782470824333,0.259047651373125,"Not significant"
"Gene_0184",237.673490289506,3.79934384587889,1.92328439919856,1.97544567379744,0.0482175939457367,0.266089685107954,"Not significant"
"Gene_0255",114.55664888466,-3.12051819184594,1.57567610695994,-1.98043124349114,0.0476550921380116,0.266089685107954,"Not significant"
"Gene_0018",146.554878908729,-2.86940229161162,1.48182115593992,-1.93640256795466,0.0528184152236695,0.27097353885975,"Not significant"
"Gene_0101",148.264888299058,2.46366757284567,1.27671734689983,1.92968911938734,0.0536453689271255,0.27097353885975,"Not significant"
"Gene_0105",2031.10944920722,2.89679941700355,1.48656201696181,1.94865695742984,0.0513364052473372,0.27097353885975,"Not significant"
"Gene_0125",79.3308694686412,-2.79483267272278,1.44470752720026,-1.93453181360449,0.0530477744500939,0.27097353885975,"Not significant"
"Gene_0211",83.3091694641457,-2.41136865940841,1.23759099469629,-1.94843746418838,0.0513626407085755,0.27097353885975,"Not significant"
"Gene_0281",492.156997646267,2.48051068940735,1.26653877448311,1.9584956571264,0.0501718801402814,0.27097353885975,"Not significant"
"Gene_0351",136.405107432563,2.81681707808764,1.46159606284754,1.92721994105527,0.0539522258579814,0.27097353885975,"Not significant"
"Gene_0499",176.333953391091,2.42875929186264,1.25816820779998,1.93039315157194,0.0535581428458673,0.27097353885975,"Not significant"
"Gene_0117",1086.69196458,2.77825447560627,1.47508377851197,1.88345537797786,0.0596386815786786,0.295187482300191,"Not significant"
"Gene_0245",242.558387947645,-3.36643620689968,1.7951663571194,-1.8752781287087,0.0607544706300169,0.295187482300191,"Not significant"
"Gene_0286",182.828803126293,2.76585845172621,1.47409822138413,1.8763053991946,0.0606133560849021,0.295187482300191,"Not significant"
"Gene_0213",116.802800227523,-3.13165710154103,1.67773475431198,-1.86659845574056,0.0619576834162275,0.297796607387674,"Not significant"
"Gene_0108",811.11282925791,2.59349950676071,1.40030420183175,1.85209721099753,0.0640118649411853,0.303834482890765,"Not significant"
"Gene_0380",58.7910256370993,2.31504076080218,1.25259169446398,1.84820063156563,0.0645733241043013,0.303834482890765,"Not significant"
"Gene_0116",222.616606668256,-3.12610193370447,1.7121755956643,-1.82580685159899,0.0678793609001124,0.313812325358676,"Not significant"
"Gene_0487",423.25745391289,2.84567280744718,1.55982153987438,1.82435793756019,0.068097976643829,0.313812325358676,"Not significant"
"Gene_0302",192.860313872256,-2.49408067067843,1.37623049063241,-1.81225506022058,0.0699467949506668,0.319043034111715,"Not significant"
"Gene_0150",119.394699342318,-2.59135146185611,1.43692767027558,-1.80339728676749,0.0713258434326611,0.322046990044439,"Not significant"
"Gene_0409",110.365692394909,-2.31434515900952,1.29398626859227,-1.7885391948767,0.0736890579655979,0.324210520088198,"Not significant"
"Gene_0456",649.202641362471,2.54451054185586,1.42411481235546,1.78673132234844,0.0739809240469713,0.324210520088198,"Not significant"
"Gene_0498",80.0730595044704,-2.46374901634176,1.37630840776648,-1.79011404888531,0.0734355787451601,0.324210520088198,"Not significant"
"Gene_0468",28.5784023531695,-2.83316648464951,1.61967811861019,-1.74921575595562,0.0802537315649643,0.348285611743097,"Not significant"
"Gene_0412",184.150885671572,-2.93494457317925,1.6876218491848,-1.7391008386132,0.082017027183254,0.352515491835717,"Not significant"
"Gene_0482",103.834291216596,2.66454791626796,1.54286911442143,1.72700839712328,0.0841661554162868,0.358307347343621,"Not significant"
"Gene_0079",42.3641340142008,-2.37373725594659,1.39179452593117,-1.70552277058171,0.0880969691831348,0.371503256838314,"Not significant"
"Gene_0469",256.132668773957,2.57257720666248,1.5144560187174,1.69868069780013,0.0893793622489323,0.373388550703483,"Not significant"
"Gene_0049",248.705291127041,-2.48111081822585,1.47108005705965,-1.6865912948239,0.0916819669904706,0.379461474488337,"Not significant"
"Gene_0179",82.6747496725153,-2.71974358727735,1.62647915803651,-1.67216627021562,0.0944915396689394,0.387502002128586,"Not significant"
"Gene_0397",61.0547877947667,-2.8073595789695,1.6878666253518,-1.66325913244737,0.0962605754829656,0.391167974917142,"Not significant"
"Gene_0015",235.789271343187,2.14971960478933,1.30557436620765,1.64657001579597,0.0996464577450519,0.395062105350298,"Not significant"
"Gene_0120",358.556150512105,2.36069543615135,1.43372273194672,1.64654949213645,0.0996506793166662,0.395062105350298,"Not significant"
"Gene_0368",75.5849601235185,-2.11094641547329,1.28287358051081,-1.64548280324922,0.0998702861400082,0.395062105350298,"Not significant"
"Gene_0486",88.605467350278,-2.13848495678159,1.31180835033623,-1.6301809301896,0.103063263084199,0.404116478935414,"Not significant"
"Gene_0390",390.486915294314,2.39269706645725,1.47839190382839,1.61844573165019,0.105566573188392,0.410332680132272,"Not significant"
"Gene_0068",50.1515843709639,2.49226072352011,1.54666601097042,1.61137615092246,0.107097762095017,0.412695686693729,"Not significant"
"Gene_0266",148.17135619166,-2.14526237818192,1.35822859765579,-1.57945605171655,0.114231489393643,0.434538230295129,"Not significant"
"Gene_0349",96.5964889212749,-2.26142811739465,1.43448937423037,-1.57646906140936,0.114917743419669,0.434538230295129,"Not significant"
"Gene_0466",137.95640160965,-1.96202345001637,1.24718847338245,-1.57315713854799,0.11568243714792,0.434538230295129,"Not significant"
"Gene_0129",276.683218924721,2.20236146193855,1.4069305314965,1.56536617312298,0.117497075254803,0.437676605324143,"Not significant"
"Gene_0354",194.456505322633,2.16249222104137,1.39323214766394,1.55214062829892,0.120628578497342,0.444835721083748,"Not significant"
"Gene_0439",202.89496243916,2.8384914423953,1.83260277132126,1.54888527225615,0.121409301951269,0.444835721083748,"Not significant"
"Gene_0008",265.485262049183,-2.20334084889513,1.45979765634659,-1.50934675043211,0.131210193418276,0.465483781412457,"Not significant"
"Gene_0314",389.028154926273,2.30260579204408,1.52435289216129,1.51054641211023,0.130904055949302,0.465483781412457,"Not significant"
"Gene_0415",139.289402475642,-2.2288453328461,1.47074818896596,-1.51544999311754,0.129658485129801,0.465483781412457,"Not significant"
"Gene_0446",139.701044597336,2.39070759970779,1.58294137663768,1.51029446509629,0.130968303429437,0.465483781412457,"Not significant"
"Gene_0262",57.6891135970343,2.34829573694314,1.5605344937151,1.50480219847794,0.132374938382691,0.465918090213094,"Not significant"
"Gene_0495",142.876836530413,2.38369749591131,1.62222374400109,1.46940118755265,0.141724005416193,0.49492680016436,"Not significant"
"Gene_0269",240.24010165109,-2.07221084288573,1.41801947451129,-1.46134159659542,0.143921719790941,0.498705494159307,"Not significant"
"Gene_0088",190.02451658856,-2.32696905720213,1.59747959192855,-1.45665025641605,0.145212947424507,0.499309134605806,"Not significant"
"Gene_0236",224.350890457273,2.22627083014233,1.54175315417519,1.44398655784385,0.148742756558224,0.503918374101475,"Not significant"
"Gene_0496",391.69016901429,2.86385715365616,1.98361813974655,1.44375426715047,0.148808110472919,0.503918374101475,"Not significant"
"Gene_0191",74.2590604905379,-2.01988010919992,1.40564607500616,-1.43697630941065,0.150724725188505,0.506571068866628,"Not significant"
"Gene_0175",736.492152810425,2.87413300243788,2.01585556462981,1.4257633596709,0.153936660567764,0.509701387213264,"Not significant"
"Gene_0462",343.92988957698,2.67090306508232,1.8696262673368,1.42857592008851,0.1531261592827,0.509701387213264,"Not significant"
"Gene_0431",326.482472643397,-1.89043477391526,1.33638886676415,-1.41458434811167,0.157190400577789,0.516647860722585,"Not significant"
"Gene_0339",74.4720679429766,-1.82166990789999,1.30754852418147,-1.39319487897427,0.16356086793862,0.533662101960316,"Not significant"
"Gene_0434",107.370944655434,2.09585788602902,1.5213903806511,1.37759375416326,0.168328750405811,0.545238778488387,"Not significant"
"Gene_0270",111.496875524725,-1.80237654062778,1.32255935197491,-1.3627944469459,0.172947301721656,0.555538528426632,"Not significant"
"Gene_0477",247.838661068936,-2.07885624259078,1.52915414406241,-1.35948115542362,0.173994169977021,0.555538528426632,"Not significant"
"Gene_0305",222.830406453011,2.07001204118037,1.53343299297733,1.34992011431892,0.177041608919258,0.561259568701477,"Not significant"
"Gene_0073",400.41097220665,1.80828065118616,1.36149663475817,1.32815653378926,0.184126400357874,0.569055293611647,"Not significant"
"Gene_0189",603.821494998433,-2.17357800728702,1.63624814481678,-1.32839142655248,0.18404883027296,0.569055293611647,"Not significant"
"Gene_0217",135.478124468506,-2.01277599803338,1.52194431468692,-1.32250304995385,0.186000694421964,0.569055293611647,"Not significant"
"Gene_0395",266.813831242274,1.89966940355918,1.44013618880165,1.31909010990128,0.1871389891743,0.569055293611647,"Not significant"
"Gene_0436",45.348042930561,-1.8184760671743,1.37505919223295,-1.3224711179315,0.186011320720744,0.569055293611647,"Not significant"
"Gene_0460",443.555310396709,2.84314200990211,2.13400428743386,1.33230379462873,0.18276038072772,0.569055293611647,"Not significant"
"Gene_0310",202.498102789705,2.08261289034894,1.6052173124694,1.2974024601972,0.194492746477006,0.583478239431019,"Not significant"
"Gene_0355",282.508831563688,-2.4311315905542,1.87359217574805,-1.29757778775071,0.194432459006505,0.583478239431019,"Not significant"
"Gene_0373",97.6025287163583,2.1746416981733,1.68141040016482,1.29334378921418,0.195892181951142,0.583758702214403,"Not significant"
"Gene_0172",302.340039313332,1.81931844219971,1.41760064532596,1.28337867804891,0.1993594402036,0.590156753450392,"Not significant"
"Gene_0104",6.705072950642,-2.29924230159347,1.81046148717679,-1.26997581438691,0.204093245383033,0.593313015522951,"Not significant"
"Gene_0157",296.192686687,1.82620754141881,1.4487163812452,1.26056940134076,0.207464028755966,0.593313015522951,"Not significant"
"Gene_0169",103.661908371379,2.17570968378695,1.72796079496162,1.25911981922904,0.207987056794085,0.593313015522951,"Not significant"
"Gene_0279",150.212709417277,1.8949687990471,1.50632730176547,1.25800601026492,0.208389582633341,0.593313015522951,"Not significant"
"Gene_0358",57.9967736168228,-2.0982602311383,1.65480471321074,-1.26798057461846,0.204804887703515,0.593313015522951,"Not significant"
"Gene_0416",71.9375833632133,-1.84532515744196,1.4666236482084,-1.25821314806711,0.208314681196439,0.593313015522951,"Not significant"
"Gene_0197",150.567770645359,-1.81920906995924,1.46359834091278,-1.24297016408524,0.213878828190717,0.605087570893992,"Not significant"
"Gene_0396",56.5115505198859,2.12017987955972,1.71275294499425,1.23787840257769,0.215761151601875,0.606573803559989,"Not significant"
"Gene_0383",918.636786707203,2.07361498098949,1.69104728048194,1.22623122660327,0.220111673380113,0.614936987505691,"Not significant"
"Gene_0085",107.826800906009,1.82402706507377,1.50489615472306,1.21206174881179,0.225488744563733,0.618364839386433,"Not significant"
"Gene_0181",322.638690539907,-2.32800506992206,1.91062171965451,-1.21845420575614,0.223051417004621,0.618364839386433,"Not significant"
"Gene_0319",160.223259629521,1.62929088051408,1.34326841678218,1.21293023803616,0.225156493608201,0.618364839386433,"Not significant"
"Gene_0389",199.102986177664,1.77159344939042,1.47331338428419,1.20245527413786,0.229187184774021,0.624674826792607,"Not significant"
"Gene_0148",124.608436677942,-2.11031161660858,1.7835647873525,-1.18319874420772,0.23673039057049,0.6340652026004,"Not significant"
"Gene_0290",162.653808920478,1.59292378195839,1.35042462634975,1.17957252176608,0.238170277103504,0.6340652026004,"Not significant"
"Gene_0367",63.6849511738254,-1.53323735903753,1.2913446079364,-1.18731851251362,0.235102008623971,0.6340652026004,"Not significant"
"Gene_0369",94.4453356580651,-1.73691145072205,1.47291931404336,-1.17923054858585,0.238306384869949,0.6340652026004,"Not significant"
"Gene_0222",108.741207313477,1.55964145429692,1.33770650221524,1.16590705936927,0.243652024490177,0.644452396136741,"Not significant"
"Gene_0393",216.737066789129,1.56329316505445,1.36821299647245,1.14258026278435,0.253212904113228,0.665800989050664,"Not significant"
"Gene_0166",166.441891723447,2.32930120033581,2.05667452543013,1.13255703395688,0.257400320566268,0.667904511985427,"Not significant"
"Gene_0448",38.8438037218651,1.63056867163184,1.43585048712446,1.13561174109245,0.256119092834521,0.667904511985427,"Not significant"
"Gene_0453",151.759183309461,1.55518570479809,1.3763261990841,1.12995429850352,0.258495482267291,0.667904511985427,"Not significant"
"Gene_0034",182.797890395512,-1.79402327876735,1.61520053632311,-1.11071240903084,0.266692159178369,0.67940352212379,"Not significant"
"Gene_0276",45.0107247550996,1.65543053515939,1.492959101639,1.10882510669048,0.26750563734628,0.67940352212379,"Not significant"
"Gene_0480",145.034540227836,1.67699286146943,1.50750217985009,1.11243146702195,0.265952681327764,0.67940352212379,"Not significant"
"Gene_0167",196.669369540624,-1.8927331357348,1.72964082798795,-1.09429258670806,0.273826675595932,0.683801810007719,"Not significant"
"Gene_0202",155.496783817109,-1.76221132406188,1.60570271542697,-1.0974704764034,0.27243577990025,0.683801810007719,"Not significant"
"Gene_0394",243.022552748336,1.84385574204271,1.67496947515316,1.10082945951842,0.270970887631617,0.683801810007719,"Not significant"
"Gene_0033",83.2370188824864,1.4785987517706,1.36386700576423,1.08412238548295,0.278310538690162,0.6846262958211,"Not significant"
"Gene_0180",138.269146170962,1.52679841417182,1.41432351580445,1.07952558032905,0.280353496700683,0.6846262958211,"Not significant"
"Gene_0226",465.928880761888,-1.67735594088633,1.55851689267181,-1.07625136998726,0.281814851076247,0.6846262958211,"Not significant"
"Gene_0237",37.8693194904144,-1.690369494122,1.56109413099717,-1.08281074187516,0.278892436620375,0.6846262958211,"Not significant"
"Gene_0483",288.518041223309,-1.84064605852194,1.69061345978962,-1.08874447193328,0.276266584569665,0.6846262958211,"Not significant"
"Gene_0208",200.972990053731,1.56850874836536,1.4632394219716,1.07194265327537,0.283745790599648,0.685591180529961,"Not significant"
"Gene_0267",250.620961155026,-1.62289369233571,1.51979841051476,-1.06783483987592,0.285595019333195,0.686349320655582,"Not significant"
"Gene_0307",121.730886352019,-1.5134254424663,1.43184563008509,-1.05697528467253,0.290522867315073,0.690764477073605,"Not significant"
"Gene_0382",371.830130106091,-1.57831800111865,1.49158427467085,-1.05814872677372,0.289987642629547,0.690764477073605,"Not significant"
"Gene_0035",80.8078231638267,1.70406437181511,1.62257447601762,1.05022259193766,0.293615784888959,0.694424634102459,"Not significant"
"Gene_0038",220.212406313234,-1.53665729173255,1.48003138139872,-1.03825993897529,0.299149054108935,0.695543099524004,"Not significant"
"Gene_0141",151.906797315126,1.635630358109,1.57157838003564,1.04075646425723,0.297988590143295,0.695543099524004,"Not significant"
"Gene_0182",138.878249716724,1.62798187834547,1.55829148342082,1.04472231008518,0.296151330484355,0.695543099524004,"Not significant"
"Gene_0248",327.827532061563,-1.32237113749686,1.28082864837457,-1.03243407240696,0.30186881724308,0.695543099524004,"Not significant"
"Gene_0356",74.9316356949593,-1.47362543136943,1.42709536065284,-1.03260473826732,0.301788909872337,0.695543099524004,"Not significant"
"Gene_0471",60.7101486973438,-1.53707200220951,1.49449773980648,-1.02848733809965,0.30372064390039,0.696221168325508,"Not significant"
"Gene_0017",95.2940595509453,1.59209083900379,1.55658081469604,1.02281283693882,0.306396347368158,0.697289634598369,"Not significant"
"Gene_0028",115.791677866715,1.49630919578331,1.48471561226016,1.00780862235664,0.313546345758998,0.697289634598369,"Not significant"
"Gene_0173",101.492154407023,-1.51992068119465,1.49478476277986,-1.01681574434037,0.309241090848674,0.697289634598369,"Not significant"
"Gene_0176",71.7327588683841,-1.3326573321506,1.3187704853913,-1.01053014676408,0.312241363564131,0.697289634598369,"Not significant"
"Gene_0272",165.040743225433,1.27345828979467,1.25262320693045,1.01663316051383,0.309327973096831,0.697289634598369,"Not significant"
"Gene_0428",29.8640520338621,1.73489656428929,1.71235180067817,1.01316596484565,0.310980894390805,0.697289634598369,"Not significant"
"Gene_0013",27.7652216650036,1.45110354737841,1.46430685695211,0.990983235849086,0.32169376621719,0.701780510546761,"Not significant"
"Gene_0057",40.4089095062192,-1.8655804129492,1.90407242636293,-0.979784375383632,0.327192566304442,0.701780510546761,"Not significant"
"Gene_0147",97.3129654755205,-1.45312143975598,1.48596664384036,-0.977896405534718,0.328125563096808,0.701780510546761,"Not significant"
"Gene_0201",190.248054870957,-1.73819230730891,1.74647734131697,-0.995256145721412,0.319611700902384,0.701780510546761,"Not significant"
"Gene_0299",59.9455801713654,1.1848859106697,1.21068758777232,0.978688410318888,0.327733960296745,0.701780510546761,"Not significant"
"Gene_0334",170.637003913668,1.36700482947802,1.37115169721563,0.996975631692668,0.318776338299322,0.701780510546761,"Not significant"
"Gene_0378",44.2773013260181,1.77347869305614,1.80379274945869,0.983194268625568,0.325511835051307,0.701780510546761,"Not significant"
"Gene_0475",113.089785115615,1.3842402335011,1.40606459911984,0.984478404738729,0.32488034438453,0.701780510546761,"Not significant"
"Gene_0329",237.303584257618,1.2110781930359,1.24676252665336,0.971378403782111,0.331359878788025,0.705323170563081,"Not significant"
"Gene_0195",103.876070367028,1.56244071430531,1.61901851296009,0.965054260836503,0.33451763473761,0.706461875967373,"Not significant"
"Gene_0429",179.118484498137,1.42882927121556,1.48221815182318,0.963980416417141,0.335055744306674,0.706461875967373,"Not significant"
"Gene_0224",201.528729949691,1.75987738109268,1.84918566689419,0.951703991978531,0.341247124267714,0.712996677537506,"Not significant"
"Gene_0375",156.960763255629,-1.60684747679985,1.68873287208888,-0.951510747115535,0.341345165532497,0.712996677537506,"Not significant"
"Gene_0242",116.021334458332,1.5865815402074,1.70217396247347,0.932091299235893,0.351289344184104,0.720304297478415,"Not significant"
"Gene_0293",57.8711401258348,-1.66283543521905,1.78158422535796,-0.933346519098721,0.35064108383901,0.720304297478415,"Not significant"
"Gene_0325",303.277793814645,-1.91032629588457,2.03680925949188,-0.937901419576783,0.348295073598851,0.720304297478415,"Not significant"
